Название,Ссылка,Адрес места,Метро,Время до метро,Рейтинг,Отзывы,Подкатегории
Русские традиции,https://zoon.ru/msk/restaurants/restoran_russkie_traditsii_v_reutove/,"Носовихинское шоссе, 18В, 1-3 этаж, Реутов",Новокосино,9 мин.,4.6,79,"Банкетный зал на 400 человек, Банкетный зал на 250 человек, Банкетный зал на 70 человек, ₽ ₽ ₽ ₽, ₽, ₽, ₽, ₽, •, Рестораны, •, •, •"
Мадлиани,https://zoon.ru/msk/restaurants/restoran_madliani_na_ulitse_talalihina/,"улица Талалихина, 6с1, 1 этаж, Москва",Крестьянская застава,10 мин.,4.7,55,"Семейный ресторан, Хинкальная, Шашлычная, Рестораны, •, •, •"
Coffee Way,https://zoon.ru/msk/restaurants/kofejnya_coffee_way_na_pyatnitskom_shosse/,"Пятницкое шоссе, 21 к1, Москва",Митино,10 мин.,5,19,"Кулинария, Кондитерские изделия, Кофейня, Рестораны, •, •, •"
Пиво Еда Люди,https://zoon.ru/msk/restaurants/pivo_eda_lyudi_na_egerskoj_ulitse/,"Егерская улица, 1, 1 этаж, Москва",Сокольники,7 мин.,4.9,17,"Паб, Банкетный зал, Спортбар, Рестораны, •, •, •"
Maurizio,https://zoon.ru/msk/restaurants/restoran_maurizio_na_ulitse_sretenka/,"улица Сретенка, 26/1, Москва",Сухаревская,4 мин.,4.9,622,"Банкетный зал на 70 человек, Банкетный зал на 80 человек, Банкетный зал на 150 человек, Рестораны, •, •, •"
Эристави,https://zoon.ru/msk/restaurants/restoran_eristavi_na_ulitse_novinki/,"Новинки, 31, цокольный этаж, Москва",Кленовый бульвар,5 мин.,4.9,81,"Банкетный зал на 150 человек, Банкетный зал на 60 человек, Банкетный зал на 40 человек, ₽ ₽ ₽ ₽, ₽, ₽, ₽, ₽, •, Рестораны, •, •, •"
Лодка,https://zoon.ru/msk/restaurants/restoran_lodka_v_tts_lotte_plaza/,"Новинский бульвар, 8, ТЦ Лотте Плаза, 4 этаж, Москва",Смоленская,5 мин.,4.6,106,"Банкетный зал на 70 человек, Банкетный зал на 60 человек, Банкетный зал на 200 человек, ₽ ₽ ₽ ₽, ₽, ₽, ₽, ₽, •, Рестораны, •, •, •"
Ротонда,https://zoon.ru/msk/restaurants/kafe_rotonda_na_aviatsionnoj_ulitse/,"Авиационная улица, 79Б, Для проезда на территорию необходимо заранее заказать пропуск, Москва",Щукинская,14 мин.,4.9,87,"Домашняя кухня, Банкетный зал на 70 человек, Банкетный зал на 80 человек, ₽ ₽ ₽ ₽, ₽, ₽, ₽, ₽, •, Рестораны, •, •, •"
Очаг Хауз,https://zoon.ru/msk/restaurants/restoran_ochag_hauz_na_dmitrovskom_shosse/,"Дмитровское шоссе, 72, Москва",Верхние Лихоборы,4 мин.,4.5,39,"Кафе, Домашняя кухня, Лапшичная, ₽ ₽ ₽ ₽, ₽, ₽, ₽, ₽, •, Рестораны, •, •, •"
"Oui, mon general",https://zoon.ru/msk/restaurants/kafe-konditerskaya_oui_mon_general_na_metro_panfilovskaya/,"улица Маршала Рыбалко, 2 к9, Вход в кафе - со двора, рядом с подъездом №3, Москва",Панфиловская,2 мин.,4.9,5,"Кафе, Домашняя кухня, Семейный ресторан, ₽ ₽ ₽ ₽, ₽, ₽, ₽, ₽, •, Рестораны, •, •, •"
Трели,https://zoon.ru/msk/restaurants/karaoke-klub_treli/,"город Ленинградский проспект, 47, БЦ Авион, цокольный этаж, Москва",Аэропорт,1 мин.,4.6,148,"Банкетный зал с караоке, Банкетный зал для корпоратива, Семейный ресторан, ₽ ₽ ₽ ₽, ₽, ₽, ₽, ₽, •, Рестораны, •, •, •"
Enjoylife,https://zoon.ru/msk/restaurants/restoran_enjoylife_na_aviatsionnoj_ulitse/,"Авиационная улица, 63, 1 этаж, Москва",Щукинская,8 мин.,4.6,32,"Домашняя кухня, Банкетный зал на новый год, Банкетный зал для поминок, ₽ ₽ ₽ ₽, ₽, ₽, ₽, ₽, •, Рестораны, •, •, •"
MANUL,https://zoon.ru/msk/restaurants/restoran_manul_na_ulitse_ohotnyj_ryad/,"Тверской район, 103265, улица Охотный Ряд, 2, 2 этаж, Москва",Охотный ряд,1 мин.,4.6,34,"Банкетный зал на 70 человек, Банкетный зал на 80 человек, Банкетный зал на 150 человек, ₽ ₽ ₽ ₽, ₽, ₽, ₽, ₽, •, Рестораны, •, •, •"
Улыбка,https://zoon.ru/msk/restaurants/kafe-bar_ulybka_na_turistskoj_ulitse/,"Туристская улица, 6с1, Москва",Сходненская,15 мин.,4.7,156,"Кафе, Домашняя кухня, Восточная кухня, ₽ ₽ ₽ ₽, ₽, ₽, ₽, ₽, •, Рестораны, •, •, •"
"Хинкали, Вино, Мимино",https://zoon.ru/msk/restaurants/restoran_gruzinskoj_kuhni_hinkali_vino_mimino/,"1-й Нагатинский проезд, 11к3, Москва",Нагатинская,14 мин.,4.9,469,"Банкетный зал на 25 человек, Банкетный зал на 40 человек, Банкетный зал на 50 человек, Рестораны, •, •, •"
Я в Грузии,https://zoon.ru/msk/restaurants/kafe-bar_ya_v_gruzii/,"Кудринская площадь, 1с1, С торца высотки со стороны Семейного доктора., Москва",Баррикадная,2 мин.,4.8,22,"Кафе, Восточная кухня, ₽ ₽ ₽ ₽, ₽, ₽, ₽, ₽, •, Рестораны, •, •, Кафе с пан пури, •"
Karaoke Club Show,https://zoon.ru/msk/restaurants/bar_karaoke_club_show/,"Туристская улица, 17, Москва",Сходненская,17 мин.,5,4,"Караоке, Рестораны, •"
Барвиха Lounge Бауманская,https://zoon.ru/msk/restaurants/kalyannaya_barviha_lounge_baumanskaya/,"Нижняя Красносельская улица, 35с59, 6 этаж, Москва",Бауманская,7 мин.,4.8,444,"Кальянная, Бар, Европейская кухня, Рестораны, •, •, •"
Suliko,https://zoon.ru/msk/restaurants/restoran_suliko_na_yuzhnobutovskoj_ulitse/,"Южнобутовская улица, 29к3, 2 этаж, Москва",Улица Горчакова,6 мин.,4.8,29,"Бар молочных коктейлей, Банкетный зал на 70 человек, Банкетный зал с терассой, Рестораны, •, •, •"
Кафе lounge,https://zoon.ru/msk/restaurants/kafe_shashlychok_na_metro_hovrino/,"Новая улица, 10, 2 этаж, Москва",Ховрино,29 мин.,4.8,5,"Кафе, Домашняя кухня, Восточная кухня, ₽ ₽ ₽ ₽, ₽, ₽, ₽, ₽, •, Рестораны, •, •, •"
Giovane nonna,https://zoon.ru/msk/restaurants/kafe_giovane_nonna_na_yubilejnom_prospekte_47_v_reutove/,"Юбилейный проспект, 47, 1 этаж с большим крыльцом, Реутов",Новокосино,16 мин.,4.7,17,"Кафе, Банкетный зал на 25 человек, Банкетный зал на 40 человек, ₽ ₽ ₽ ₽, ₽, ₽, ₽, ₽, •, Рестораны, •, •, •"
БОР,https://zoon.ru/msk/restaurants/restoran_bor_na_metro_novokuznetskaya/,"Пятницкая улица, 9/28с1, Москва",Новокузнецкая,4 мин.,4.9,72,"Банкетный зал на новый год, Банкетный зал для корпоратива, Банкетный зал для дня рождения, ₽ ₽ ₽ ₽, ₽, ₽, ₽, ₽, •, Рестораны, •, •, •"
Rich Lounge,https://zoon.ru/msk/restaurants/laundzh-bar_rich_lounge/,"Лобачевского, 102 ст1, 2 этаж, Москва",Мичуринский проспект,8 мин.,4.9,240,"Кафе, Кафе с бельгийскими вафлями, Банкетный зал на 60 человек, Рестораны, •, •, •"
Soul&Spirits,https://zoon.ru/msk/restaurants/restoran_soulspirits_na_ulitse_sretenka/,"улица Сретенка, 26/1, Находимся всего в 5 минутах от метро, Москва",Сухаревская,4 мин.,4.9,32,"Тематический ресторан, Паназиатская кухня, Крафтовый бар, ₽ ₽ ₽ ₽, ₽, ₽, ₽, ₽, •, Рестораны, •, •, •"
Nudles by Ivleeva,https://zoon.ru/msk/restaurants/izakaya-bar_nudles_by_ivleeva/,"Столешников переулок, 8, Москва",Чеховская,5 мин.,4.9,49,"Лапшичная, Банкетный зал с терассой, Банкетный зал на новый год, ₽ ₽ ₽ ₽, ₽, ₽, ₽, ₽, •, Рестораны, •, •, •"
Барвиха Lounge Красная площадь,https://zoon.ru/msk/restaurants/kalyannaya_barviha_lounge_krasnaya_ploschad/,"Ветошный переулок, 13, Москва",Площадь Революции,2 мин.,4.9,168,"Кальянная, Бар, Кальян, Рестораны, •, •, •"
МТЕБИ,https://zoon.ru/msk/restaurants/restoran_gruzinskoj_kuhni_mtebi/,"Красносельский район, 107053, Каланчёвская улица, 4/2 с1, Москва",Красные ворота,3 мин.,4.9,140,"Кафе, Банкетный зал на 25 человек, Банкетный зал на 40 человек, ₽ ₽ ₽ ₽, ₽, ₽, ₽, ₽, •, Рестораны, •, •, •"
Виктория,https://zoon.ru/msk/restaurants/banketnyj_zal_viktoriya_na_metro_okskaya_v_ryazanskom_rajone/,"Рязанский проспект, 22, Москва",Окская,10 мин.,4.6,34,"Круглосуточный бар, Банкетный зал на 250 человек, Банкетный зал на 70 человек, ₽ ₽ ₽ ₽, ₽, ₽, ₽, ₽, •, Рестораны, •, •, •"
Березовая роща,https://zoon.ru/msk/restaurants/kafe_berezovaya_roscha_na_ulitse_kuusinena/,"улица Куусинена, 8а, Москва",Полежаевская,19 мин.,4.7,87,"Восточная кухня, Детский ресторан, Винный бар, ₽ ₽ ₽ ₽, ₽, ₽, ₽, ₽, •, Рестораны, •, •, •"
Роял,https://zoon.ru/msk/restaurants/restoran_bar_royal_na_borovskom_shosse/,"Боровское шоссе, 42, корп. 1, 2 этаж, Москва",Новопеределкино,6 мин.,4.6,127,"Кафе, Банкетный зал на 70 человек, Банкетный зал на 80 человек, ₽ ₽ ₽ ₽, ₽, ₽, ₽, ₽, •, Рестораны, •, •, •"
Поминальная трапеза,https://zoon.ru/msk/restaurants/kafe_pominalnaya_trapeza_na_ulitse_obrucheva/,"улица Обручева, 23к2с2, Москва",Калужская,9 мин.,4.7,9,"Кафе, Домашняя кухня, Банкетный зал для поминок, Рестораны, •, •, •"
Времена года,https://zoon.ru/msk/restaurants/restoran_vremena_goda_v_parke_gorkogo/,"улица Крымский Вал, 9 ст20, Москва",Шаболовская,13 мин.,4.6,66,"Банкетный зал на 250 человек, Банкетный зал на 70 человек, Банкетный зал на 80 человек, ₽ ₽ ₽ ₽, ₽, ₽, ₽, ₽, •, Рестораны, •, •, •"
BlackOut,https://zoon.ru/msk/restaurants/kofejnya-muzej_blackout_na_arbate/,"улица Арбат, 17, 1 этаж, Москва",Арбатская (Филевская линия),4 мин.,4.9,95,"Кафе, Кондитерская, Кофейня, ₽ ₽ ₽ ₽, ₽, ₽, ₽, ₽, •, Рестораны, •, •, •"
Ёбидоёби,https://zoon.ru/msk/restaurants/sluzhba_dostavki_sushi_i_rollov_yobidoyobi_na_metro_okskaya/,"1-я Новокузьминская улица, 3, цокольный этаж, Москва",Окская,4 мин.,4.9,89,"Паназиатская кухня, Суши-бар, Фастфуд, Рестораны, •, •, •"
Кристалл,https://zoon.ru/msk/restaurants/restoran_kristall_v_mytischah/,"Силикатная улица, 51Б, Мытищи",Нет данных,Нет данных,4.7,30,"Кафе, Кафе с бельгийскими вафлями, Банкетный зал на 70 человек, Рестораны, •, •, •"
Кепи,https://zoon.ru/msk/restaurants/restoran_kepi_na_ulitse_rustaveli/,"улица Руставели, 6к6, Москва",Дмитровская,10 мин.,4.9,1207,"Семейный ресторан, Хинкальная, Шашлычная, ₽ ₽ ₽ ₽, ₽, ₽, ₽, ₽, •, Рестораны, •, •, •"
Пиросмани,https://zoon.ru/msk/restaurants/restoran_pirosmani_na_dubninskoj_ulitse/,"Дубнинская улица, 32, 1; 2 этаж, Москва",Яхромская,13 мин.,4.9,21,"Точка по продаже шаурмы, Чебуречная, Восточная кухня, ₽ ₽ ₽ ₽, ₽, ₽, ₽, ₽, •, Рестораны, •, •, •"
Марракеш by заря,https://zoon.ru/msk/restaurants/laundzh-bar_marrakesh_by_zarya/,"улица Усачёва, 26, Москва",Спортивная,7 мин.,5,1,"Восточная кухня, Винный бар, Панорамный ресторан, Рестораны, •, •, •"
Red Lion Pub,https://zoon.ru/msk/restaurants/bar_red_lion_pub_v_tverskom_rajone/,"Садовая-Самотечная улица, 13 ст1, 1 этаж, Москва",Цветной бульвар,4 мин.,4.7,23,"Банкетный зал на 60 человек, Банкетный зал на 25 человек, Банкетный зал на 40 человек, Рестораны, •, •, •"
Forte&Пьяно,https://zoon.ru/msk/restaurants/karaoke-bar_fortepyano_v_bolshom_putinkovskom_pereulke/,"Большой Путинковский переулок, 5, Москва",Тверская,3 мин.,4.6,105,"Банкетный зал на новый год, Паназиатская кухня, Винный бар, ₽ ₽ ₽ ₽, ₽, ₽, ₽, ₽, •, Рестораны, •, •, •"
Поминальная трапеза,https://zoon.ru/msk/restaurants/kafe_pominalnaya_trapeza_na_lipetskoj_ulitse/,"Липецкая улица, 22, Москва",Орехово,39 мин.,4.9,7,"Кафе, Домашняя кухня, Банкетный зал на 70 человек, ₽ ₽ ₽ ₽, ₽, ₽, ₽, ₽, •, Рестораны, •, •, •"
Non Solo,https://zoon.ru/msk/restaurants/restoran-karaoke_non_solo/,"Садовническая улица, 54, стр. 2, 1 этаж, Москва",Новокузнецкая,9 мин.,4.7,12,"Кафе, Банкетный зал на новый год, Банкетный зал с караоке, ₽ ₽ ₽ ₽, ₽, ₽, ₽, ₽, •, Рестораны, •, •, •"
Золотая рыбка,https://zoon.ru/msk/restaurants/restoran_zolotaya_rybka_na_oktyabrskom_prospekte/,"Люберцы, Октябрьский проспект, 55а, 2 этаж, Москва",Жулебино,16 мин.,4.7,34,"Кафе, Домашняя кухня, Автокафе, ₽ ₽ ₽ ₽, ₽, ₽, ₽, ₽, •, Рестораны, •, •, •"
Smoothie & Coffee,https://zoon.ru/msk/restaurants/gastrobar_smoothie_coffee_na_mantulinskoj_ulitse/,"Мантулинская улица, 18, Москва",Выставочная,13 мин.,4.7,4,"Кафе, Бар молочных коктейлей, Семейный ресторан, ₽ ₽ ₽ ₽, ₽, ₽, ₽, ₽, •, Рестораны, •, •, •"
Dolce casa,https://zoon.ru/msk/restaurants/restoran_dolce_casa/,"Авангардная улица, 3, 2 этаж, Красногорск",Мякинино,29 мин.,4.9,132,"Детский ресторан, Пельменная, Гриль-бар, ₽ ₽ ₽ ₽, ₽, ₽, ₽, ₽, •, Рестораны, •, •, •"
Мир,https://zoon.ru/msk/restaurants/chajhana_mir_v_balashihe/,"микрорайон Павлино, 14/1, Балашиха",Некрасовка,55 мин.,5,1,"Точка по продаже шаурмы, Чебуречная, Восточная кухня, Рестораны, •, •, •"
Amara Platinum,https://zoon.ru/msk/restaurants/restoran_amara_platinum/,"1-я улица Машиностроения, 10, Вход с торца здания, Москва",Дубровка (Московское центральное кольцо),4 мин.,5,14,"Веганская пицца, Кафе, Домашняя кухня, Рестораны, •, •, •"
Барвиха Lounge Москва-Сити,https://zoon.ru/msk/restaurants/kalyannaya_barviha_lounge_moskva-siti/,"Пресненская набережная, 4с1, Москва",Выставочная,2 мин.,4.9,206,"Круглосуточный бар, Круглосуточная кальянная, Круглосуточная пиццерия, Рестораны, •, •, •"
Грех,https://zoon.ru/msk/restaurants/konditerskaya_greh/,"Карамышевская набережная, 36, 1 этаж, Москва",Мнёвники,13 мин.,4.8,14,"Кафе, Чайный клуб, Бар молочных коктейлей, Рестораны, •, •, •"
Натахтари,https://zoon.ru/msk/restaurants/kafe_natahtari_na_schyolkovskom_shosse/,"Щёлковское шоссе, 75, 5 этаж, Москва",Щёлковская,3 мин.,4.3,15,"Кафе, Бар молочных коктейлей, Банкетный зал на 70 человек, ₽ ₽ ₽ ₽, ₽, ₽, ₽, ₽, •, Рестораны, •, •, •"
Дружба крепкая,https://zoon.ru/msk/restaurants/bar_druzhba_krepkaya/,"проспект Андропова, 22, ТРЦ «Нора», 3 ий этаж, фуд-холл «Облака», Москва",Коломенская,7 мин.,5,1,"Крафтовый бар, Бар, Рестораны, •, •"
Джавахк,https://zoon.ru/msk/restaurants/hinkalnaya_dzhavahk_na_initsiativnoj_ulitse_v_lyubertsah/,"Инициативная улица, 7Б, 2 этаж, Люберцы",Лухмановская,37 мин.,4.9,545,"Кафе, Семейный ресторан, Рестораны, •, •, Кафе с пан пури, •"
Atlantica seafood,https://zoon.ru/msk/restaurants/restoran_atlantica_seafood_na_kutuzovskom_prospekte/,"Кутузовский проспект, 36а, 1 этаж, Москва",Кутузовская (Московское центральное кольцо),7 мин.,4.9,688,"Банкетный зал на 25 человек, Банкетный зал на 10 человек, Банкетный зал на 15 человек, ₽ ₽ ₽ ₽, ₽, ₽, ₽, ₽, •, Рестораны, •, •, •"
ВАХ ГЕНАЦВАЛЕ,https://zoon.ru/msk/restaurants/restoran_gruzinskoj_kuhni_vah_genatsvale/,"Нагорная улица, 25с1, Москва",Нагорная,12 мин.,4.9,54,"Кафе, Домашняя кухня, Банкетный зал на 70 человек, Рестораны, •, •, •"
Вавилон,https://zoon.ru/msk/restaurants/restoran_vavilon_na_metro_tehnopark/,"Проектируемый проезд № 4062, 6с1, Москва",Технопарк,5 мин.,4.9,3,"Кафе, Бар молочных коктейлей, Банкетный зал на новый год, Рестораны, •, •, •"
Кепи,https://zoon.ru/msk/restaurants/gruzinskij_restoran_kepi_v_3-m_paveletskom_proezde/,"3-й Павелецкий проезд, 4, ""ТЦ Павелецкая"", вход с улицы и через ТЦ (лифт), Москва",Автозаводская,14 мин.,5,6,"Хинкальная, Гриль-бар, Шашлычная, ₽ ₽ ₽ ₽, ₽, ₽, ₽, ₽, •, Рестораны, •, •, •"
Лаваш,https://zoon.ru/msk/restaurants/restoran_lavash/,"Петровско-Разумовский проезд, 10, Москва",Петровский парк,12 мин.,4.9,15,"Восточная кухня, Семейный ресторан, ₽ ₽ ₽ ₽, ₽, ₽, ₽, ₽, •, Рестораны, •, •"
BONOO cafе́,https://zoon.ru/msk/restaurants/restoran_bonoo_cafe/,"улица Пудовкина, 3, Москва",Парк Победы,19 мин.,4.8,1,"Кафе, Бар молочных коктейлей, Банкетный зал на 25 человек, ₽ ₽ ₽ ₽, ₽, ₽, ₽, ₽, •, Рестораны, •, •, •"
Эрмитаж,https://zoon.ru/msk/restaurants/restoran_ermitazh_na_vishnevoj_ulitse/,"Вишнёвая улица, 13, 1 этаж, Москва",Тушинская,16 мин.,4.3,18,"Круглосуточный бар, Круглосуточная кальянная, Кафе, ₽ ₽ ₽ ₽, ₽, ₽, ₽, ₽, •, Рестораны, •, •, •"
Balzi Rossi,https://zoon.ru/msk/restaurants/restoran_balzi_rossi/,"Кудринская площадь, 1, Москва",Баррикадная,3 мин.,4.4,8,"Банкетный зал на 100 человек, Банкетный зал на 50 человек, Банкетный зал с терассой, ₽ ₽ ₽ ₽, ₽, ₽, ₽, ₽, •, Рестораны, •, •, •"
Flat,https://zoon.ru/msk/restaurants/karaoke-bar_flat/,"улица Земляной Вал, 50Ас3, вход с торца здания, Москва",Чкаловская,8 мин.,4.8,33,"Банкетный зал на 60 человек, Банкетный зал на 25 человек, Банкетный зал на 40 человек, ₽ ₽ ₽ ₽, ₽, ₽, ₽, ₽, •, Рестораны, •, •, •"
Vandal Coffee,https://zoon.ru/msk/restaurants/kofejnya_vandal_coffee_v_krasnogorske/,"улица Ленина, 44А, Красногорск",Пятницкое шоссе,4.4 км,4.9,9,"Уличная еда, Кондитерские изделия, Кофейня, ₽ ₽ ₽ ₽, ₽, ₽, ₽, ₽, •, Рестораны, •, •, •"
Coffee matters!,https://zoon.ru/msk/restaurants/kofejnya_coffee_matters_na_tsvetnom_bulvare/,"Цветной бульвар, 16/1, Москва",Трубная,2 мин.,4.9,3,"Бар молочных коктейлей, Пекарня, Кондитерские изделия, ₽ ₽ ₽ ₽, ₽, ₽, ₽, ₽, •, Рестораны, •, •, •"
ДУЭТ,https://zoon.ru/msk/restaurants/restoran-karaoke_duet_na_ozyornoj_ulitse/,"Озерная улица, 42, 1 этаж, Москва",Озёрная,3 мин.,4.7,65,"Кафе, Банкетный зал на 70 человек, Банкетный зал на 80 человек, ₽ ₽ ₽ ₽, ₽, ₽, ₽, ₽, •, Рестораны, •, •, •"
Hamilton Lounge Bar,https://zoon.ru/msk/restaurants/karaoke_hamilton_lounge_bar_na_prechistenskoj_naberezhnoj/,"Пречистенская набережная, 17-19, Вход со стороны набережной. 1 этаж, Москва",Кропоткинская,8 мин.,4.8,38,"Банкетный зал на 25 человек, Банкетный зал на 40 человек, Банкетный зал на 10 человек, Рестораны, •, •, •"
Проснись и пой,https://zoon.ru/msk/restaurants/karaoke-klub_prosnis_i_poj_na_minskoj_ulitse/,"Минская улица, 2Г, корп. 1, -1 этаж, Москва",Минская,13 мин.,4.5,9,"Банкетный зал на 60 человек, Банкетный зал на 25 человек, Банкетный зал на 40 человек, Рестораны, •, •, •"
Роза Ветров,https://zoon.ru/msk/restaurants/kafe_roza_vetrov_v_lefortovo/,"Сторожевая улица, 4 ст1, 1 этаж, Москва",Лефортово,3 мин.,4.5,25,"Кафе, Домашняя кухня, Банкетный зал на 15 человек, ₽ ₽ ₽ ₽, ₽, ₽, ₽, ₽, •, Рестораны, •, •, •"
Константинофф,https://zoon.ru/msk/restaurants/restoran_konstantinoff/,"Автозаводская улица, 24, Москва",Тульская,11 мин.,4.9,1,"Кафе, Домашняя кухня, Блинная, Рестораны, •, •, •"
Jimmy Poy,https://zoon.ru/msk/restaurants/karaoke-klub_jimmy_poy/,"Лубянский проезд, 15с2, ДЦ Лубянский, этаж цокольный, Москва",Китай-город,1 мин.,4.8,34,"Банкетный зал с караоке, Паназиатская кухня, Рестораны, •, •, Закусочная с карри, •"
Чеми Стумари,https://zoon.ru/msk/restaurants/restoran_chemi_stumari_na_izmajlovskom_shosse/,"Измайловское шоссе, 3а, 1 этаж, Москва",Семёновская,5 мин.,4.8,5,"Банкетный зал на 150 человек, Банкетный зал для корпоратива, Банкетный зал для дня рождения, ₽ ₽ ₽ ₽, ₽, ₽, ₽, ₽, •, Рестораны, •, •, •"
Daddy Cat,https://zoon.ru/msk/restaurants/ekspress-kofejnya_daddy_cat_v_lyubertsah/,"улица 8 Марта, 18к1, Люберцы",Улица Дмитриевского,17 мин.,5,35,"Бар молочных коктейлей, Кофейня, Дог-френдли, ₽ ₽ ₽ ₽, ₽, ₽, ₽, ₽, •, Рестораны, •, •, •"
Поместье-Парк,https://zoon.ru/msk/restaurants/pomeste-park_v_serebryanom_boru/,"Таманская улица, вл46с1, территория Пляж №2, Москва",Строгино,23 мин.,4.7,101,"Домашняя кухня, Банкетный зал с терассой, Банкетный зал на новый год, Рестораны, •, •, •"
Три метлы,https://zoon.ru/msk/restaurants/kofejnya_tri_metly/,"Даниловский район, 115280, Автозаводская улица, 23Б к2, Левый угол здания, Москва",ЗИЛ,4 мин.,4.9,22,"Кафе, Чайный клуб, Бар молочных коктейлей, ₽ ₽ ₽ ₽, ₽, ₽, ₽, ₽, •, Рестораны, •, •, •"
Chicolatte Lab,https://zoon.ru/msk/restaurants/kafe_chicolatte_lab_na_metro_filatov_lug/,"район Коммунарка, улица Малое Понизовье, 4, Москва",Филатов луг,6 мин.,4.8,9,"Кафе, Кафе с бельгийскими вафлями, Детский ресторан, ₽ ₽ ₽ ₽, ₽, ₽, ₽, ₽, •, Рестораны, •, •, •"
Чжун Го,https://zoon.ru/msk/restaurants/restoran_chzhun_go_v_1-m_volkonskom_pereulke_/,"1-й Волконский переулок, 10, Москва",Цветной бульвар,5 мин.,4.8,37,"Банкетный зал на 25 человек, Банкетный зал на 40 человек, Банкетный зал на 50 человек, ₽ ₽ ₽ ₽, ₽, ₽, ₽, ₽, •, Рестораны, •, •, •"
Alpha_Lounge,https://zoon.ru/msk/restaurants/kalyannaya_alpha_lounge_v_tts_aviator_na_metro_tushinskaya/,"Тушинская улица, 16, 3 этаж, Москва",Тушинская,7 мин.,4.7,54,"Кальянная, Кальян, Караоке, Рестораны, •, •, •"
Династия,https://zoon.ru/msk/restaurants/restoran_dinastiya_v_nekrasovke/,"1-я Вольская улица, 17 к1, цокольный этаж, Москва",Некрасовка,31 мин.,4.4,24,"Кафе, Детский банкетный зал, Банкетный зал для дня рождения, ₽ ₽ ₽ ₽, ₽, ₽, ₽, ₽, •, Рестораны, •, •, •"
Китайский квартал,https://zoon.ru/msk/restaurants/restoran_kitajskij_kvartal/,"Сельскохозяйственная улица, 38 к1, 1 этаж, Москва",Ботанический сад,8 мин.,4.9,13,"Паназиатская кухня, Пельменная, Банкетный зал, Рестораны, •, •, •"
Toronto,https://zoon.ru/msk/restaurants/restoran_toronto/,"д. Красный Посёлок, деревня Красный Посёлок, 2а, Москва",Нет данных,Нет данных,4.7,7,"Домашняя кухня, Бар молочных коктейлей, Уличная еда, Рестораны, •, •, •"
Хинкальная в Реутове,https://zoon.ru/msk/restaurants/hinkalnaya_v_reutove/,"улица Ленина, 6, 1 этаж, Реутов",Новокосино,18 мин.,4.5,18,"Кафе, Домашняя кухня, Блинная, Рестораны, •, •, •"
Глостер,https://zoon.ru/msk/restaurants/bar_gloster_v_yuzhnom_butovo/,"бульвар Адмирала Ушакова, 12, 1 этаж, Москва",Улица Скобелевская,3 мин.,4.4,3,"Ресторан-пивоварня, Паб, Спортбар, ₽ ₽ ₽ ₽, ₽, ₽, ₽, ₽, •, Рестораны, •, •, •"
Белоснежка,https://zoon.ru/msk/restaurants/kafe_belosnezhka/,"городской округ Пушкинский, городок Софрино-1, 21А, Москва",Нет данных,Нет данных,4.4,1,"Кафе, Кафе-мороженое, Пекарня, Рестораны, •, •, •"
Территория,https://zoon.ru/msk/restaurants/restoran_territoriya/,"Рязанский проспект, 64, Москва",Рязанский проспект,10 мин.,4.4,149,"Кафе, Домашняя кухня, Семейный ресторан, ₽ ₽ ₽ ₽, ₽, ₽, ₽, ₽, •, Рестораны, •, •, •"
Вино,https://zoon.ru/msk/restaurants/restoran_vino_na_varshavskom_shosse/,"Варшавское шоссе, 18к2, Москва",Верхние Котлы,2 мин.,4.6,38,"Домашняя кухня, Точка по продаже шаурмы, Семейный ресторан, ₽ ₽ ₽ ₽, ₽, ₽, ₽, ₽, •, Рестораны, •, •, •"
Медуза,https://zoon.ru/msk/restaurants/restoran_meduza/,"Долгопрудный, Набережная улица, 18, яхт-клуб Нептун, Москва",Физтех,4.7 км,4.8,23,"Банкетный зал на 70 человек, Банкетный зал на 80 человек, Банкетный зал на 150 человек, Рестораны, •, •, •"
Whisky Rooms,https://zoon.ru/msk/restaurants/restoran-klub_whisky_rooms/,"Леонтьевский переулок, 8 ст1, Москва",Пушкинская,10 мин.,4.6,10,"Банкетный зал на 25 человек, Банкетный зал на 40 человек, Банкетный зал на 10 человек, Рестораны, •, •, •"
N-Joy,https://zoon.ru/msk/restaurants/karaoke-klub_n-joy/,"Колокольников переулок, 22, стр. 5, этаж цокольный, Москва",Сретенский бульвар,7 мин.,4.5,2,"Круглосуточный бар, Круглосуточная кальянная, Банкетный зал с караоке, Рестораны, •, •, •"
Cafe de Arts,https://zoon.ru/msk/restaurants/restoran_cafe_de_arts_na_ulitse_marshala_sokolovskogo/,"улица Маршала Соколовского, 5, Москва",Октябрьское поле,5 мин.,4.7,46,"Кафе, Банкетный зал на 70 человек, Банкетный зал на 80 человек, ₽ ₽ ₽ ₽, ₽, ₽, ₽, ₽, •, Рестораны, •, •, •"
Клешни и Хвосты,https://zoon.ru/msk/restaurants/rakovarnya_kleshni_i_hvosty_v_odintsovo/,"Можайское шоссе, 100а, Одинцово",Нет данных,Нет данных,4.9,24,"Раковарня, Банкетный зал, Рестораны, •, •"
